pH,Salinity,CO3,HCO3,Alkalinity,Hardness,Ca:Mg Ratio,Dissolved Oxygen,Suitable
7.46,8.14,0.0,127.15,127.15,2789.48,0.27,7.46,False
7.1,21.79,0.0,159.48,159.48,2332.35,0.33,4.2,False
8.08,12.83,0.0,107.41,107.41,2033.47,0.27,6.15,True
7.81,13.16,0.0,199.03,199.03,1753.64,0.28,6.37,True
8.03,10.03,0.0,149.82,149.82,2001.45,0.3,3.18,False
7.65,14.59,0.0,143.16,143.16,2850.51,0.32,5.01,True
7.81,11.52,0.0,153.83,153.83,2983.68,0.28,6.31,True
7.56,11.86,0.0,120.19,120.19,2384.21,0.3,6.99,True
7.41,23.22,0.0,143.78,143.78,5708.74,0.31,4.38,False
8.44,10.91,1.71,108.51,110.22,1302.65,0.28,6.99,True
8.41,12.92,64.18,48.38,112.56,2249.9,0.27,4.92,True
8.16,17.54,0.0,184.03,184.03,1064.98,0.32,5.5,True
7.82,7.99,0.0,141.09,141.09,4814.66,0.3,3.24,False
7.7,6.67,0.0,129.53,129.53,4790.2,0.28,4.88,False
8.5,14.65,150.12,41.53,191.65,2802.48,0.3,5.29,True
8.02,16.87,0.0,135.59,135.59,741.03,0.28,4.6,False
8.04,14.01,0.0,195.04,195.04,1202.56,0.27,6.82,True
8.27,14.61,47.65,125.75,173.4,1096.25,0.3,6.96,True
8.28,12.87,23.99,150.63,174.62,2281.91,0.33,7.55,True
7.7,19.41,0.0,118.49,118.49,4529.21,0.32,5.56,True
7.26,19.52,0.0,128.23,128.23,3367.28,0.31,2.23,False
8.32,15.45,198.14,0.53,198.67,4421.13,0.29,5.02,True
8.02,10.94,0.0,157.81,157.81,3981.65,0.27,4.86,True
7.1,15.69,0.0,167.6,167.6,3332.34,0.25,5.28,False
8.44,13.19,82.95,65.34,148.29000000000002,1375.5,0.25,2.96,False
7.39,17.81,0.0,125.31,125.31,1664.76,0.27,3.04,False
7.09,18.8,0.0,123.88,123.88,2038.87,0.26,2.59,False
7.42,5.46,0.0,130.8,130.8,1705.65,0.32,7.01,False
8.54,16.56,69.5,55.45,124.95,5661.15,0.3,7.34,False
8.36,13.79,140.55,49.29,189.84,3123.72,0.32,6.9,True
7.53,24.46,0.0,158.43,158.43,4487.66,0.32,7.7,False
7.93,7.84,0.0,150.15,150.15,4438.19,0.28,7.15,False
7.41,23.14,0.0,174.18,174.18,5072.13,0.28,4.78,False
7.56,12.78,0.0,163.85,163.85,2798.19,0.29,5.16,True
8.08,17.62,0.0,103.27,103.27,3223.53,0.31,2.9,False
7.25,9.75,0.0,109.3,109.3,2300.22,0.33,2.49,False
8.04,20.58,0.0,110.31,110.31,4549.25,0.25,3.44,False
8.57,12.88,23.87,65.26,89.13000000000001,2907.22,0.33,5.46,False
7.97,10.41,0.0,120.79,120.79,2851.5,0.27,4.26,True
8.92,10.63,159.99,13.57,173.56,940.13,0.26,5.44,False
7.16,14.2,0.0,138.35,138.35,4297.35,0.32,5.36,False
8.32,24.81,90.91,65.24,156.14999999999998,3329.34,0.32,6.09,False
8.31,13.53,199.3,0.54,199.84,2201.42,0.28,4.86,True
7.91,14.02,0.0,149.74,149.74,1139.65,0.32,2.82,False
